HITId,rater,AssignmentId,WorkerId,Input.query,Input.baselineQuery,Input.nlQuery,Input.resultSet,plausibility,typicality,human_like_quality,complexity
3A520CCNX0ERHQQ6Q2BJDGYJAI5EAS,A,3OUYGIZWRLC10OF7XHZ366GZ76JP01,A1T43OWIO9E9YY,"SELECT p.""person_id"", t.""title_name_id"", t.""format_id""
FROM imdb2.""person"" as p
INNER JOIN imdb2.""year"" as y
ON p.""birthyear_id"" = y.""year_id""
INNER JOIN imdb2.""title"" as t
ON y.""year_id"" = t.""release_date_id""
ORDER BY t.""average_rating"" ASC;","Form the intersection that contains the corresponding entries of the tables person and year and the intersection that contains the corresponding entries of the tables year and title. Return the columns person_id, title_name_id and format_id.    Sort the result ascending by average_rating.","Find the person-ids, the title-name-ids, and the format-ids for all persons and the titles they were involved with, and sort the result by the average rating in ascending order.","[{'person_id': 8857956, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 8858780, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 8899381, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 8903252, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 8993057, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 9030935, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 9036391, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 9061935, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 9103078, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 9115682, 'title_name_id': 426021, 'format_id': 1}]",1.0,2.0,0.0,8
3A520CCNX0ERHQQ6Q2BJDGYJAI5EAS,B,3W92K5RLW8VD0FY4GZEETT18A1GV5W,A2JY86U7GYYWG9,"SELECT p.""person_id"", t.""title_name_id"", t.""format_id""
FROM imdb2.""person"" as p
INNER JOIN imdb2.""year"" as y
ON p.""birthyear_id"" = y.""year_id""
INNER JOIN imdb2.""title"" as t
ON y.""year_id"" = t.""release_date_id""
ORDER BY t.""average_rating"" ASC;","Form the intersection that contains the corresponding entries of the tables person and year and the intersection that contains the corresponding entries of the tables year and title. Return the columns person_id, title_name_id and format_id.    Sort the result ascending by average_rating.","Find the person-ids, the title-name-ids, and the format-ids for all persons and the titles they were involved with, and sort the result by the average rating in ascending order.","[{'person_id': 8857956, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 8858780, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 8899381, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 8903252, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 8993057, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 9030935, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 9036391, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 9061935, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 9103078, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 9115682, 'title_name_id': 426021, 'format_id': 1}]",0.0,0.0,1.0,3
3A520CCNX0ERHQQ6Q2BJDGYJAI5EAS,C,39PAAFCOD0EFLH9UHVWCW97MQ43VTO,A6OFKIDN0B2ML,"SELECT p.""person_id"", t.""title_name_id"", t.""format_id""
FROM imdb2.""person"" as p
INNER JOIN imdb2.""year"" as y
ON p.""birthyear_id"" = y.""year_id""
INNER JOIN imdb2.""title"" as t
ON y.""year_id"" = t.""release_date_id""
ORDER BY t.""average_rating"" ASC;","Form the intersection that contains the corresponding entries of the tables person and year and the intersection that contains the corresponding entries of the tables year and title. Return the columns person_id, title_name_id and format_id.    Sort the result ascending by average_rating.","Find the person-ids, the title-name-ids, and the format-ids for all persons and the titles they were involved with, and sort the result by the average rating in ascending order.","[{'person_id': 8857956, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 8858780, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 8899381, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 8903252, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 8993057, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 9030935, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 9036391, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 9061935, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 9103078, 'title_name_id': 426021, 'format_id': 1}, {'person_id': 9115682, 'title_name_id': 426021, 'format_id': 1}]",0.0,0.0,1.0,5
3ACRLU8610SW00VYWGBF8RIPS0QEBN,A,3MH9DQ757AQB3XYOS5N014QEM3MGUB,A1776HCSXREZLA,"SELECT p.""person_id"", n.""name""
FROM imdb2.""person"" as p
INNER JOIN imdb2.""name"" as n
ON p.""name_id"" = n.""name_id""
WHERE n.""name_id"" >= '180';",Form the intersection that contains the corresponding entries of the tables person and name. Return the columns person_id and name. Only return the data for which name_id is greater or equal than '180' is true.,Find the person-ids and the names for all persons where the name-id is greater than or equal to '180'.,"[{'person_id': 9115257, 'name': 'Justin Frazier'}, {'person_id': 9115294, 'name': 'Ndidi Amadi'}, {'person_id': 9115304, 'name': 'Antonis Vamvakas'}, {'person_id': 9115308, 'name': 'Alvaro Galvan'}, {'person_id': 9115309, 'name': 'Nobin Paul'}, {'person_id': 9115314, 'name': 'Amy Hsu'}, {'person_id': 9115316, 'name': 'Alex Savvides'}, {'person_id': 9115318, 'name': 'Luis Antonius Canete'}, {'person_id': 9115321, 'name': 'Andrew Horton'}, {'person_id': 9115323, 'name': 'Robert Pratt'}]",1.0,-1.0,1.0,7
3ACRLU8610SW00VYWGBF8RIPS0QEBN,B,3EFVCAY5LHNNW2HCX87Y2P05H4BJ82,A2PZ7CNBB7949S,"SELECT p.""person_id"", n.""name""
FROM imdb2.""person"" as p
INNER JOIN imdb2.""name"" as n
ON p.""name_id"" = n.""name_id""
WHERE n.""name_id"" >= '180';",Form the intersection that contains the corresponding entries of the tables person and name. Return the columns person_id and name. Only return the data for which name_id is greater or equal than '180' is true.,Find the person-ids and the names for all persons where the name-id is greater than or equal to '180'.,"[{'person_id': 9115257, 'name': 'Justin Frazier'}, {'person_id': 9115294, 'name': 'Ndidi Amadi'}, {'person_id': 9115304, 'name': 'Antonis Vamvakas'}, {'person_id': 9115308, 'name': 'Alvaro Galvan'}, {'person_id': 9115309, 'name': 'Nobin Paul'}, {'person_id': 9115314, 'name': 'Amy Hsu'}, {'person_id': 9115316, 'name': 'Alex Savvides'}, {'person_id': 9115318, 'name': 'Luis Antonius Canete'}, {'person_id': 9115321, 'name': 'Andrew Horton'}, {'person_id': 9115323, 'name': 'Robert Pratt'}]",0.0,1.0,1.0,7
3ACRLU8610SW00VYWGBF8RIPS0QEBN,C,3JZQSN0I34OMKF1YXGS1F4PBCHVFG1,A2URVRTNG8X24N,"SELECT p.""person_id"", n.""name""
FROM imdb2.""person"" as p
INNER JOIN imdb2.""name"" as n
ON p.""name_id"" = n.""name_id""
WHERE n.""name_id"" >= '180';",Form the intersection that contains the corresponding entries of the tables person and name. Return the columns person_id and name. Only return the data for which name_id is greater or equal than '180' is true.,Find the person-ids and the names for all persons where the name-id is greater than or equal to '180'.,"[{'person_id': 9115257, 'name': 'Justin Frazier'}, {'person_id': 9115294, 'name': 'Ndidi Amadi'}, {'person_id': 9115304, 'name': 'Antonis Vamvakas'}, {'person_id': 9115308, 'name': 'Alvaro Galvan'}, {'person_id': 9115309, 'name': 'Nobin Paul'}, {'person_id': 9115314, 'name': 'Amy Hsu'}, {'person_id': 9115316, 'name': 'Alex Savvides'}, {'person_id': 9115318, 'name': 'Luis Antonius Canete'}, {'person_id': 9115321, 'name': 'Andrew Horton'}, {'person_id': 9115323, 'name': 'Robert Pratt'}]",2.0,1.0,1.0,4
3TZ0XG8CC7YW366ALTBJPBRDTXP989,A,34MAJL3QPI1BSNSLIKPY563BJLU435,A1JL3HCA0MK9UI,"SELECT p.""name_id"", p.""birthyear_id"", t.""format_id""
FROM imdb2.""person"" as p
INNER JOIN imdb2.""year"" as y
ON p.""birthyear_id"" = y.""year_id""
INNER JOIN imdb2.""title"" as t
ON y.""year_id"" = t.""release_date_id""
INNER JOIN imdb2.""format"" as f
ON t.""format_id"" = f.""format_id""
WHERE p.""person_id"" BETWEEN '9116832' AND '9117129' AND t.""is_adult"" = 'true' OR f.""format"" = 'movie';","Form the intersection that contains the corresponding entries of the tables person and year and the intersection that contains the corresponding entries of the tables year and title and the intersection that contains the corresponding entries of the tables title and format. Return the columns name_id, birthyear_id and format_id. Only return the data for which person_id is is between 9116832 and 9117129, is_adult equals 'true', format equals 'movie' is true.   ","Find the name-ids, the birthyear-ids, and the format-ids for all persons and the titles they were involved with - the person-id is between 9116832 and 9117129, the rated adult is 'true', and the format is 'movie'.","[{'name_id': 7483989, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 3305771, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 3427920, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 4021159, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 3952135, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 1057563, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 4561341, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 6616118, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 4455933, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 2562852, 'birthyear_id': 440, 'format_id': 7}]",1.0,0.0,0.0,9
3TZ0XG8CC7YW366ALTBJPBRDTXP989,B,3IXEICO79GXU6RUTGNO4KHRN9BD6T9,A3HVUXPVT265VI,"SELECT p.""name_id"", p.""birthyear_id"", t.""format_id""
FROM imdb2.""person"" as p
INNER JOIN imdb2.""year"" as y
ON p.""birthyear_id"" = y.""year_id""
INNER JOIN imdb2.""title"" as t
ON y.""year_id"" = t.""release_date_id""
INNER JOIN imdb2.""format"" as f
ON t.""format_id"" = f.""format_id""
WHERE p.""person_id"" BETWEEN '9116832' AND '9117129' AND t.""is_adult"" = 'true' OR f.""format"" = 'movie';","Form the intersection that contains the corresponding entries of the tables person and year and the intersection that contains the corresponding entries of the tables year and title and the intersection that contains the corresponding entries of the tables title and format. Return the columns name_id, birthyear_id and format_id. Only return the data for which person_id is is between 9116832 and 9117129, is_adult equals 'true', format equals 'movie' is true.   ","Find the name-ids, the birthyear-ids, and the format-ids for all persons and the titles they were involved with - the person-id is between 9116832 and 9117129, the rated adult is 'true', and the format is 'movie'.","[{'name_id': 7483989, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 3305771, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 3427920, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 4021159, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 3952135, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 1057563, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 4561341, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 6616118, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 4455933, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 2562852, 'birthyear_id': 440, 'format_id': 7}]",1.0,-1.0,0.0,1
3TZ0XG8CC7YW366ALTBJPBRDTXP989,C,3U8YCDAGX3UM00GMXUES6B69C1S0QO,A3OX7ROJ1D6PQY,"SELECT p.""name_id"", p.""birthyear_id"", t.""format_id""
FROM imdb2.""person"" as p
INNER JOIN imdb2.""year"" as y
ON p.""birthyear_id"" = y.""year_id""
INNER JOIN imdb2.""title"" as t
ON y.""year_id"" = t.""release_date_id""
INNER JOIN imdb2.""format"" as f
ON t.""format_id"" = f.""format_id""
WHERE p.""person_id"" BETWEEN '9116832' AND '9117129' AND t.""is_adult"" = 'true' OR f.""format"" = 'movie';","Form the intersection that contains the corresponding entries of the tables person and year and the intersection that contains the corresponding entries of the tables year and title and the intersection that contains the corresponding entries of the tables title and format. Return the columns name_id, birthyear_id and format_id. Only return the data for which person_id is is between 9116832 and 9117129, is_adult equals 'true', format equals 'movie' is true.   ","Find the name-ids, the birthyear-ids, and the format-ids for all persons and the titles they were involved with - the person-id is between 9116832 and 9117129, the rated adult is 'true', and the format is 'movie'.","[{'name_id': 7483989, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 3305771, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 3427920, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 4021159, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 3952135, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 1057563, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 4561341, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 6616118, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 4455933, 'birthyear_id': 440, 'format_id': 7}, {'name_id': 2562852, 'birthyear_id': 440, 'format_id': 7}]",1.0,2.0,0.0,7
3OPLMF3EVI1C7FUNGS3SCH83IM5LN6,A,3B3WTRP3DPGN4B2EVF7K349ZZZ792U,A22LJ18ZVOPVCT,"SELECT p.""person_id"", y.""year_id"", y.""year""
FROM imdb2.""person"" as p
INNER JOIN imdb2.""year"" as y
ON p.""birthyear_id"" = y.""year_id""
WHERE p.""person_id"" BETWEEN '9507136' AND '9508071' AND y.""year_id"" > '281';","Form the intersection that contains the corresponding entries of the tables person and year. Return the columns person_id, year_id and year. Only return the data for which person_id is is between 9507136 and 9508071, year_id is greater than '281' is true.   ","Find the person-ids, the year-ids, and the years for all persons where the person-id is between 9507136 and 9508071, and the year-id is larger than '281'.","[{'person_id': 9507192, 'year_id': 427, 'year': 1915}, {'person_id': 9507218, 'year_id': 443, 'year': 1999}, {'person_id': 9507638, 'year_id': 540, 'year': 1979}, {'person_id': 9507786, 'year_id': 507, 'year': 2002}, {'person_id': 9507954, 'year_id': 436, 'year': 1970}]",2.0,2.0,,9
